asset_id,name,kind,latitude,longitude,nearest_km,detections_5km,high_conf_5km,total_frp_5km,max_frp_5km,detections_10km,high_conf_10km,total_frp_10km,max_frp_10km,detections_25km,high_conf_25km,total_frp_25km,max_frp_25km,days_exposed_10km,max_consecutive_days_10km,last_exposure_10km,risk_score,risk_level
140,Tepsa,port,41.3334363,2.1538943,13.5,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
139,Relisa,port,41.3358561,2.155282,13.21,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
138,Meroil Tank (Lukoil),port,41.3339834,2.1603999,13.32,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
137,Meroil,port,41.3336041,2.1575889,13.41,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
136,Transportes ferroviariarios especiales,port,41.3321287,2.159623,13.53,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
185,Port Es Canaret,port,39.1026791,1.4851364,97.91,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
89,Marina Ibiza,port,38.9135751,1.4438985,112.07,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
184,Port Es Boldado,port,38.8906831,1.2222809,96.33,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
183,Port de Vedella,port,38.9144488,1.2235723,96.83,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
182,Puerto de Coralmar,port,38.9445182,1.2334829,98.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
19,Ibiza Airport,airport,38.872898,1.37312,109.08,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
82,Berlengas Grande,port,39.4141486,-9.5066578,36.97,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
186,Port Mastella,port,39.0244292,1.596705,94.16,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,0.163,low
